fra;sg;cage_scol;cl_age18;pop;P;T;Ti;Tp;Td
FR;2021-01-15-2021-01-21;[00-03);02;2153747,25;557,00;8691,00;25,86;6,41;403,53
FR;2021-01-16-2021-01-22;[00-03);02;2153747,25;579,00;8983,00;26,88;6,45;417,09
FR;2021-01-17-2021-01-23;[00-03);02;2153747,25;586,00;9172,00;27,21;6,39;425,86
FR;2021-01-18-2021-01-24;[00-03);02;2153747,25;593,00;9242,00;27,53;6,42;429,11
FR;2021-01-19-2021-01-25;[00-03);02;2153747,25;577,00;9627,00;26,79;5,99;446,99
FR;2021-01-20-2021-01-26;[00-03);02;2153747,25;575,00;9939,00;26,70;5,79;461,47
FR;2021-01-21-2021-01-27;[00-03);02;2153747,25;579,00;10182,00;26,88;5,69;472,76
FR;2021-01-22-2021-01-28;[00-03);02;2153747,25;588,00;10302,00;27,30;5,71;478,33
FR;2021-01-23-2021-01-29;[00-03);02;2153747,25;576,00;10456,00;26,74;5,51;485,48
FR;2021-01-24-2021-01-30;[00-03);02;2153747,25;568,00;10531,00;26,37;5,39;488,96
FR;2021-01-25-2021-01-31;[00-03);02;2153747,25;567,00;10587,00;26,33;5,36;491,56
FR;2021-01-26-2021-02-01;[00-03);02;2153747,25;588,00;10497,00;27,30;5,60;487,38
FR;2021-01-27-2021-02-02;[00-03);02;2153747,25;588,00;10582,00;27,30;5,56;491,33
FR;2021-01-28-2021-02-03;[00-03);02;2153747,25;576,00;10696,00;26,74;5,39;496,62
FR;2021-01-29-2021-02-04;[00-03);02;2153747,25;559,00;10823,00;25,95;5,16;502,52
FR;2021-01-30-2021-02-05;[00-03);02;2153747,25;555,00;10937,00;25,77;5,07;507,81
FR;2021-01-31-2021-02-06;[00-03);02;2153747,25;559,00;11041,00;25,95;5,06;512,64
FR;2021-02-01-2021-02-07;[00-03);02;2153747,25;563,00;11055,00;26,14;5,09;513,29
FR;2021-02-02-2021-02-08;[00-03);02;2153747,25;542,00;11318,00;25,17;4,79;525,50
FR;2021-02-03-2021-02-09;[00-03);02;2153747,25;542,00;11620,00;25,17;4,66;539,52
FR;2021-02-04-2021-02-10;[00-03);02;2153747,25;551,00;11877,00;25,58;4,64;551,46
FR;2021-02-05-2021-02-11;[00-03);02;2153747,25;551,00;12047,00;25,58;4,57;559,35
FR;2021-02-06-2021-02-12;[00-03);02;2153747,25;589,00;12371,00;27,35;4,76;574,39
FR;2021-02-07-2021-02-13;[00-03);02;2153747,25;592,00;12469,00;27,49;4,75;578,94
FR;2021-02-08-2021-02-14;[00-03);02;2153747,25;580,00;12515,00;26,93;4,63;581,08
FR;2021-02-09-2021-02-15;[00-03);02;2153747,25;588,00;12546,00;27,30;4,69;582,52
FR;2021-02-10-2021-02-16;[00-03);02;2153747,25;597,00;12400,00;27,72;4,81;575,74
FR;2021-02-11-2021-02-17;[00-03);02;2153747,25;594,00;12148,00;27,58;4,89;564,04
FR;2021-02-12-2021-02-18;[00-03);02;2153747,25;617,00;12141,00;28,65;5,08;563,72
FR;2021-02-13-2021-02-19;[00-03);02;2153747,25;591,00;12079,00;27,44;4,89;560,84
FR;2021-02-14-2021-02-20;[00-03);02;2153747,25;600,00;12138,00;27,86;4,94;563,58
FR;2021-02-15-2021-02-21;[00-03);02;2153747,25;617,00;12176,00;28,65;5,07;565,34
FR;2021-02-16-2021-02-22;[00-03);02;2153747,25;642,00;11979,00;29,81;5,36;556,19
FR;2021-02-17-2021-02-23;[00-03);02;2153747,25;680,00;11870,00;31,57;5,73;551,13
FR;2021-02-18-2021-02-24;[00-03);02;2153747,25;711,00;11906,00;33,01;5,97;552,80
FR;2021-02-19-2021-02-25;[00-03);02;2153747,25;727,00;11827,00;33,76;6,15;549,14
FR;2021-02-20-2021-02-26;[00-03);02;2153747,25;752,00;11614,00;34,92;6,47;539,25
FR;2021-02-21-2021-02-27;[00-03);02;2153747,25;774,00;11564,00;35,94;6,69;536,92
FR;2021-02-22-2021-02-28;[00-03);02;2153747,25;770,00;11483,00;35,75;6,71;533,16
FR;2021-02-23-2021-03-01;[00-03);02;2153747,25;773,00;11383,00;35,89;6,79;528,52
FR;2021-02-24-2021-03-02;[00-03);02;2153747,25;758,00;11314,00;35,19;6,70;525,32
FR;2021-02-25-2021-03-03;[00-03);02;2153747,25;765,00;11142,00;35,52;6,87;517,33
