epci;sg;cage65;cl_age65;pop;P;T;Ti;Tp;Td
200023414;2020-10-21-2020-10-27;[00-65);64;387225,75;1682,66;10709,87;434,54;15,71;2765,79
200023414;2020-10-22-2020-10-28;[00-65);64;387225,75;1762,84;10786,85;455,25;16,34;2785,67
200023414;2020-10-23-2020-10-29;[00-65);64;387225,75;1726,80;10661,32;445,94;16,20;2753,26
200023414;2020-10-24-2020-10-30;[00-65);64;387225,75;1728,90;10785,68;446,48;16,03;2785,37
200023414;2020-10-25-2020-10-31;[00-65);64;387225,75;1739,15;11002,39;449,13;15,81;2841,34
200023414;2020-10-26-2020-11-01;[00-65);64;387225,75;1768,73;11361,71;456,77;15,57;2934,13
200023414;2020-10-27-2020-11-02;[00-65);64;387225,75;1748,11;11330,48;451,44;15,43;2926,06
200023414;2020-10-28-2020-11-03;[00-65);64;387225,75;1774,90;11524,46;458,36;15,40;2976,16
200023414;2020-10-29-2020-11-04;[00-65);64;387225,75;1683,04;11377,10;434,64;14,79;2938,11
200023414;2020-10-30-2020-11-05;[00-65);64;387225,75;1677,08;11370,88;433,10;14,75;2936,50
200023414;2020-10-31-2020-11-06;[00-65);64;387225,75;1605,80;11236,70;414,69;14,29;2901,85
200023414;2020-11-01-2020-11-07;[00-65);64;387225,75;1554,51;10997,75;401,45;14,13;2840,14
200023414;2020-11-02-2020-11-08;[00-65);64;387225,75;1548,33;11047,35;399,85;14,02;2852,95
200023414;2020-11-03-2020-11-09;[00-65);64;387225,75;1347,94;10789,04;348,10;12,49;2786,24
200023414;2020-11-04-2020-11-10;[00-65);64;387225,75;1167,81;10452,91;301,58;11,17;2699,44
200023414;2020-11-05-2020-11-11;[00-65);64;387225,75;961,29;9194,27;248,25;10,46;2374,39
200023414;2020-11-06-2020-11-12;[00-65);64;387225,75;855,90;8878,32;221,03;9,64;2292,80
200023414;2020-11-07-2020-11-13;[00-65);64;387225,75;758,20;8369,71;195,80;9,06;2161,46
200023414;2020-11-08-2020-11-14;[00-65);64;387225,75;716,35;8079,59;185,00;8,87;2086,53
200023414;2020-11-09-2020-11-15;[00-65);64;387225,75;717,54;7994,99;185,30;8,97;2064,68
200023414;2020-11-10-2020-11-16;[00-65);64;387225,75;682,02;7449,37;176,13;9,16;1923,78
200023414;2020-11-11-2020-11-17;[00-65);64;387225,75;652,05;7047,74;168,39;9,25;1820,06
200023414;2020-11-12-2020-11-18;[00-65);64;387225,75;678,05;7601,44;175,10;8,92;1963,05
200023414;2020-11-13-2020-11-19;[00-65);64;387225,75;624,57;7328,17;161,29;8,52;1892,48
200023414;2020-11-14-2020-11-20;[00-65);64;387225,75;576,93;7086,42;148,99;8,14;1830,05
200023414;2020-11-15-2020-11-21;[00-65);64;387225,75;577,05;7093,58;149,02;8,13;1831,90
200023414;2020-11-16-2020-11-22;[00-65);64;387225,75;542,86;6968,87;140,19;7,79;1799,69
200023414;2020-11-17-2020-11-23;[00-65);64;387225,75;475,97;6770,58;122,92;7,03;1748,48
200023414;2020-11-18-2020-11-24;[00-65);64;387225,75;420,65;6540,24;108,63;6,43;1689,00
200023414;2020-11-19-2020-11-25;[00-65);64;387225,75;400,10;6406,63;103,32;6,25;1654,49
200023414;2020-11-20-2020-11-26;[00-65);64;387225,75;379,97;6140,53;98,13;6,19;1585,78
200023414;2020-11-21-2020-11-27;[00-65);64;387225,75;376,54;6076,49;97,24;6,20;1569,24
200023414;2020-11-22-2020-11-28;[00-65);64;387225,75;356,49;5885,34;92,06;6,06;1519,87
200023414;2020-11-23-2020-11-29;[00-65);64;387225,75;359,99;5930,31;92,97;6,07;1531,49
200023414;2020-11-24-2020-11-30;[00-65);64;387225,75;327,80;5632,46;84,65;5,82;1454,57
200023414;2020-11-25-2020-12-01;[00-65);64;387225,75;333,45;5490,86;86,11;6,07;1418,00
200023414;2020-11-26-2020-12-02;[00-65);64;387225,75;317,97;5531,03;82,11;5,75;1428,37
200023414;2020-11-27-2020-12-03;[00-65);64;387225,75;300,18;5526,64;77,52;5,43;1427,24
200023414;2020-11-28-2020-12-04;[00-65);64;387225,75;276,39;5482,19;71,38;5,04;1415,76
200023414;2020-11-29-2020-12-05;[00-65);64;387225,75;288,74;5581,05;74,57;5,17;1441,29
