fra;semaine;nb_pos;nb_crib;tx_crib;nb_A0;nb_A1;tx_A1;nb_C0;nb_C1;tx_C1;nb_D0;nb_D1;tx_D1;nb_A0C0;nb_A01C01;tx_A0C0
FR;2022-03-07-2022-03-13;582230.00;128077.00;22.00;111845.00;471.00;0.42;119230.00;260.00;0.22;1744.00;117443.00;98.54;111663.00;112288.00;99.44
FR;2022-03-08-2022-03-14;629313.00;138981.00;22.08;121466.00;403.00;0.33;129420.00;288.00;0.22;2023.00;127294.00;98.44;121243.00;121842.00;99.51
FR;2022-03-09-2022-03-15;662413.00;147386.00;22.25;129248.00;439.00;0.34;137408.00;318.00;0.23;2263.00;134975.00;98.35;128994.00;129652.00;99.49
FR;2022-03-10-2022-03-16;698507.00;157379.00;22.53;138492.00;416.00;0.30;147002.00;330.00;0.22;2385.00;144153.00;98.37;138235.00;138885.00;99.53
FR;2022-03-11-2022-03-17;733825.00;170449.00;23.23;150722.00;413.00;0.27;159657.00;343.00;0.21;2487.00;156356.00;98.43;150444.00;151112.00;99.56
FR;2022-03-12-2022-03-18;773804.00;186353.00;24.08;165561.00;459.00;0.28;174949.00;339.00;0.19;2701.00;170850.00;98.44;165290.00;165995.00;99.58
FR;2022-03-13-2022-03-19;804369.00;196097.00;24.38;174123.00;615.00;0.35;184216.00;405.00;0.22;2850.00;179767.00;98.44;173845.00;174714.00;99.50
FR;2022-03-14-2022-03-20;811677.00;198091.00;24.41;175765.00;653.00;0.37;186116.00;392.00;0.21;2862.00;181641.00;98.45;175493.00;176395.00;99.49
FR;2022-03-15-2022-03-21;895350.00;230834.00;25.78;206270.00;592.00;0.29;218000.00;357.00;0.16;3243.00;211923.00;98.49;205991.00;206839.00;99.59
FR;2022-03-16-2022-03-22;959302.00;256227.00;26.71;231128.00;651.00;0.28;242381.00;396.00;0.16;3652.00;235242.00;98.47;230812.00;231759.00;99.59
FR;2022-03-17-2022-03-23;1025614.00;279625.00;27.26;254829.00;756.00;0.30;264977.00;469.00;0.18;4035.00;256966.00;98.45;254445.00;255565.00;99.56
FR;2022-03-18-2022-03-24;1083606.00;295307.00;27.25;271105.00;849.00;0.31;279980.00;507.00;0.18;4420.00;271214.00;98.40;270693.00;271937.00;99.54
FR;2022-03-19-2022-03-25;1140465.00;301086.00;26.40;278060.00;819.00;0.29;285648.00;500.00;0.17;4576.00;276821.00;98.37;277649.00;278864.00;99.56
FR;2022-03-20-2022-03-26;1179517.00;300904.00;25.51;279389.00;749.00;0.27;285418.00;434.00;0.15;4676.00;276748.00;98.34;278982.00;280121.00;99.59
